areaCode,areaName,areaType,date,newCasesBySpecimenDateRollingRate
E92000001,England,nation,06/04/2021,29.3
N92000002,Northern Ireland,nation,06/04/2021,29.7
S92000003,Scotland,nation,06/04/2021,42.7
W92000004,Wales,nation,06/04/2021,18.3
E92000001,England,nation,05/04/2021,30.1
N92000002,Northern Ireland,nation,05/04/2021,30.6
S92000003,Scotland,nation,05/04/2021,43.4
W92000004,Wales,nation,05/04/2021,19.3
E92000001,England,nation,04/04/2021,32.1
N92000002,Northern Ireland,nation,04/04/2021,34.6
S92000003,Scotland,nation,04/04/2021,47.5
W92000004,Wales,nation,04/04/2021,20.9
E92000001,England,nation,03/04/2021,36.3
N92000002,Northern Ireland,nation,03/04/2021,37.7
S92000003,Scotland,nation,03/04/2021,49.4
W92000004,Wales,nation,03/04/2021,21.8
E92000001,England,nation,02/04/2021,38.1
N92000002,Northern Ireland,nation,02/04/2021,41.2
S92000003,Scotland,nation,02/04/2021,51.4
W92000004,Wales,nation,02/04/2021,22.7
E92000001,England,nation,01/04/2021,40.8
N92000002,Northern Ireland,nation,01/04/2021,44.3
S92000003,Scotland,nation,01/04/2021,53.8
W92000004,Wales,nation,01/04/2021,25.5
E92000001,England,nation,31/03/2021,43.6
N92000002,Northern Ireland,nation,31/03/2021,48.5
S92000003,Scotland,nation,31/03/2021,56.7
W92000004,Wales,nation,31/03/2021,28.9
E92000001,England,nation,30/03/2021,47.1
N92000002,Northern Ireland,nation,30/03/2021,50.9
S92000003,Scotland,nation,30/03/2021,59.4
W92000004,Wales,nation,30/03/2021,31.5
E92000001,England,nation,29/03/2021,49.6
N92000002,Northern Ireland,nation,29/03/2021,52.9
S92000003,Scotland,nation,29/03/2021,63.2
W92000004,Wales,nation,29/03/2021,32.3
E92000001,England,nation,28/03/2021,53
N92000002,Northern Ireland,nation,28/03/2021,54.9
S92000003,Scotland,nation,28/03/2021,66.3
W92000004,Wales,nation,28/03/2021,34.6
E92000001,England,nation,27/03/2021,53.4
N92000002,Northern Ireland,nation,27/03/2021,56
S92000003,Scotland,nation,27/03/2021,68.2
W92000004,Wales,nation,27/03/2021,35.8
E92000001,England,nation,26/03/2021,54.1
N92000002,Northern Ireland,nation,26/03/2021,56
S92000003,Scotland,nation,26/03/2021,69.5
W92000004,Wales,nation,26/03/2021,37.8
E92000001,England,nation,25/03/2021,55
N92000002,Northern Ireland,nation,25/03/2021,55.7
S92000003,Scotland,nation,25/03/2021,70.7
W92000004,Wales,nation,25/03/2021,38.6
E92000001,England,nation,24/03/2021,55.1
N92000002,Northern Ireland,nation,24/03/2021,55.6
S92000003,Scotland,nation,24/03/2021,70.3
W92000004,Wales,nation,24/03/2021,39.3
E92000001,England,nation,23/03/2021,54.7
N92000002,Northern Ireland,nation,23/03/2021,54.2
S92000003,Scotland,nation,23/03/2021,71.4
W92000004,Wales,nation,23/03/2021,39
E92000001,England,nation,22/03/2021,55.4
N92000002,Northern Ireland,nation,22/03/2021,55.6
S92000003,Scotland,nation,22/03/2021,70.8
W92000004,Wales,nation,22/03/2021,39.7
E92000001,England,nation,21/03/2021,55.9
N92000002,Northern Ireland,nation,21/03/2021,55.8
S92000003,Scotland,nation,21/03/2021,71
W92000004,Wales,nation,21/03/2021,39.6
E92000001,England,nation,20/03/2021,54.3
N92000002,Northern Ireland,nation,20/03/2021,55.6
S92000003,Scotland,nation,20/03/2021,70.6
W92000004,Wales,nation,20/03/2021,40.2
E92000001,England,nation,19/03/2021,54.4
N92000002,Northern Ireland,nation,19/03/2021,56.5
S92000003,Scotland,nation,19/03/2021,70.7
W92000004,Wales,nation,19/03/2021,41.4
E92000001,England,nation,18/03/2021,55.3
N92000002,Northern Ireland,nation,18/03/2021,58.9
S92000003,Scotland,nation,18/03/2021,71.5
W92000004,Wales,nation,18/03/2021,42.3
E92000001,England,nation,17/03/2021,55.6
N92000002,Northern Ireland,nation,17/03/2021,59.5
S92000003,Scotland,nation,17/03/2021,73.5
W92000004,Wales,nation,17/03/2021,42.6
E92000001,England,nation,16/03/2021,55.8
N92000002,Northern Ireland,nation,16/03/2021,62.6
S92000003,Scotland,nation,16/03/2021,74
W92000004,Wales,nation,16/03/2021,43.2
E92000001,England,nation,15/03/2021,56.7
N92000002,Northern Ireland,nation,15/03/2021,63.4
S92000003,Scotland,nation,15/03/2021,75.5
W92000004,Wales,nation,15/03/2021,42.7
E92000001,England,nation,14/03/2021,56.9
N92000002,Northern Ireland,nation,14/03/2021,66
S92000003,Scotland,nation,14/03/2021,73.6
W92000004,Wales,nation,14/03/2021,44.6
E92000001,England,nation,13/03/2021,56.8
N92000002,Northern Ireland,nation,13/03/2021,68.5
S92000003,Scotland,nation,13/03/2021,73.4
W92000004,Wales,nation,13/03/2021,44.2
E92000001,England,nation,12/03/2021,57.3
N92000002,Northern Ireland,nation,12/03/2021,69
S92000003,Scotland,nation,12/03/2021,73.7
W92000004,Wales,nation,12/03/2021,43.6
E92000001,England,nation,11/03/2021,57.2
N92000002,Northern Ireland,nation,11/03/2021,67.3
S92000003,Scotland,nation,11/03/2021,71.5
W92000004,Wales,nation,11/03/2021,41.2
E92000001,England,nation,10/03/2021,57.3
N92000002,Northern Ireland,nation,10/03/2021,66.3
S92000003,Scotland,nation,10/03/2021,69.6
W92000004,Wales,nation,10/03/2021,40.3
E92000001,England,nation,09/03/2021,57.5
N92000002,Northern Ireland,nation,09/03/2021,64.5
S92000003,Scotland,nation,09/03/2021,67.2
W92000004,Wales,nation,09/03/2021,40.5
E92000001,England,nation,08/03/2021,58.3
N92000002,Northern Ireland,nation,08/03/2021,65.6
S92000003,Scotland,nation,08/03/2021,64.7
W92000004,Wales,nation,08/03/2021,42.8
E92000001,England,nation,07/03/2021,58.9
N92000002,Northern Ireland,nation,07/03/2021,63.8
S92000003,Scotland,nation,07/03/2021,64
W92000004,Wales,nation,07/03/2021,42.3
E92000001,England,nation,06/03/2021,59.7
N92000002,Northern Ireland,nation,06/03/2021,61.8
S92000003,Scotland,nation,06/03/2021,63.8
W92000004,Wales,nation,06/03/2021,44.3
E92000001,England,nation,05/03/2021,60.4
N92000002,Northern Ireland,nation,05/03/2021,62.5
S92000003,Scotland,nation,05/03/2021,62.6
W92000004,Wales,nation,05/03/2021,43.3
E92000001,England,nation,04/03/2021,62.4
N92000002,Northern Ireland,nation,04/03/2021,64.1
S92000003,Scotland,nation,04/03/2021,63.7
W92000004,Wales,nation,04/03/2021,45.6
E92000001,England,nation,03/03/2021,65.7
N92000002,Northern Ireland,nation,03/03/2021,68.1
S92000003,Scotland,nation,03/03/2021,65
W92000004,Wales,nation,03/03/2021,46.4
E92000001,England,nation,02/03/2021,69.5
N92000002,Northern Ireland,nation,02/03/2021,74.1
S92000003,Scotland,nation,02/03/2021,68.7
W92000004,Wales,nation,02/03/2021,48.1
E92000001,England,nation,01/03/2021,73.9
N92000002,Northern Ireland,nation,01/03/2021,76.4
S92000003,Scotland,nation,01/03/2021,72
W92000004,Wales,nation,01/03/2021,49.8
E92000001,England,nation,28/02/2021,80.9
N92000002,Northern Ireland,nation,28/02/2021,79.8
S92000003,Scotland,nation,28/02/2021,76.4
W92000004,Wales,nation,28/02/2021,52.7
E92000001,England,nation,27/02/2021,86
N92000002,Northern Ireland,nation,27/02/2021,83.2
S92000003,Scotland,nation,27/02/2021,79.8
W92000004,Wales,nation,27/02/2021,54.8
E92000001,England,nation,26/02/2021,90.9
N92000002,Northern Ireland,nation,26/02/2021,87.2
S92000003,Scotland,nation,26/02/2021,84.3
W92000004,Wales,nation,26/02/2021,58.8
E92000001,England,nation,25/02/2021,96.6
N92000002,Northern Ireland,nation,25/02/2021,93.4
S92000003,Scotland,nation,25/02/2021,91.1
W92000004,Wales,nation,25/02/2021,62.3
E92000001,England,nation,24/02/2021,102.5
N92000002,Northern Ireland,nation,24/02/2021,94.9
S92000003,Scotland,nation,24/02/2021,95.7
W92000004,Wales,nation,24/02/2021,66
E92000001,England,nation,23/02/2021,107.3
N92000002,Northern Ireland,nation,23/02/2021,97.9
S92000003,Scotland,nation,23/02/2021,98
W92000004,Wales,nation,23/02/2021,69.5
E92000001,England,nation,22/02/2021,112.1
N92000002,Northern Ireland,nation,22/02/2021,100.9
S92000003,Scotland,nation,22/02/2021,101.9
W92000004,Wales,nation,22/02/2021,74.3
E92000001,England,nation,21/02/2021,116.7
N92000002,Northern Ireland,nation,21/02/2021,107.1
S92000003,Scotland,nation,21/02/2021,105.1
W92000004,Wales,nation,21/02/2021,78.1
E92000001,England,nation,20/02/2021,118
N92000002,Northern Ireland,nation,20/02/2021,110.3
S92000003,Scotland,nation,20/02/2021,106.4
W92000004,Wales,nation,20/02/2021,78.6
E92000001,England,nation,19/02/2021,119.5
N92000002,Northern Ireland,nation,19/02/2021,108.1
S92000003,Scotland,nation,19/02/2021,104.2
W92000004,Wales,nation,19/02/2021,79
E92000001,England,nation,18/02/2021,122.5
N92000002,Northern Ireland,nation,18/02/2021,107.1
S92000003,Scotland,nation,18/02/2021,104.4
W92000004,Wales,nation,18/02/2021,82.1
E92000001,England,nation,17/02/2021,124.8
N92000002,Northern Ireland,nation,17/02/2021,107.9
S92000003,Scotland,nation,17/02/2021,103.8
W92000004,Wales,nation,17/02/2021,83.2
E92000001,England,nation,16/02/2021,128.1
N92000002,Northern Ireland,nation,16/02/2021,108.4
S92000003,Scotland,nation,16/02/2021,104.1
W92000004,Wales,nation,16/02/2021,85.6
E92000001,England,nation,15/02/2021,130.6
N92000002,Northern Ireland,nation,15/02/2021,109.3
S92000003,Scotland,nation,15/02/2021,101.4
W92000004,Wales,nation,15/02/2021,86.3
E92000001,England,nation,14/02/2021,133
N92000002,Northern Ireland,nation,14/02/2021,108.9
S92000003,Scotland,nation,14/02/2021,101.9
W92000004,Wales,nation,14/02/2021,87.6
E92000001,England,nation,13/02/2021,137.7
N92000002,Northern Ireland,nation,13/02/2021,110.7
S92000003,Scotland,nation,13/02/2021,101.5
W92000004,Wales,nation,13/02/2021,87.4
E92000001,England,nation,12/02/2021,142.7
N92000002,Northern Ireland,nation,12/02/2021,116.9
S92000003,Scotland,nation,12/02/2021,104.3
W92000004,Wales,nation,12/02/2021,89.9
E92000001,England,nation,11/02/2021,148.8
N92000002,Northern Ireland,nation,11/02/2021,124.8
S92000003,Scotland,nation,11/02/2021,105
W92000004,Wales,nation,11/02/2021,92.8
E92000001,England,nation,10/02/2021,157.5
N92000002,Northern Ireland,nation,10/02/2021,130.3
S92000003,Scotland,nation,10/02/2021,106
W92000004,Wales,nation,10/02/2021,96.8
E92000001,England,nation,09/02/2021,167.4
N92000002,Northern Ireland,nation,09/02/2021,137
S92000003,Scotland,nation,09/02/2021,107.5
W92000004,Wales,nation,09/02/2021,101
E92000001,England,nation,08/02/2021,177
N92000002,Northern Ireland,nation,08/02/2021,143.1
S92000003,Scotland,nation,08/02/2021,112.9
W92000004,Wales,nation,08/02/2021,105.3
E92000001,England,nation,07/02/2021,188.2
N92000002,Northern Ireland,nation,07/02/2021,150.9
S92000003,Scotland,nation,07/02/2021,114.8
W92000004,Wales,nation,07/02/2021,109.1
E92000001,England,nation,06/02/2021,194.5
N92000002,Northern Ireland,nation,06/02/2021,156.7
S92000003,Scotland,nation,06/02/2021,117.7
W92000004,Wales,nation,06/02/2021,114.7
E92000001,England,nation,05/02/2021,202.4
N92000002,Northern Ireland,nation,05/02/2021,161.3
S92000003,Scotland,nation,05/02/2021,119.3
W92000004,Wales,nation,05/02/2021,118.7
E92000001,England,nation,04/02/2021,212.5
N92000002,Northern Ireland,nation,04/02/2021,166.3
S92000003,Scotland,nation,04/02/2021,119.7
W92000004,Wales,nation,04/02/2021,121.8
E92000001,England,nation,03/02/2021,222.6
N92000002,Northern Ireland,nation,03/02/2021,172.6
S92000003,Scotland,nation,03/02/2021,123.8
W92000004,Wales,nation,03/02/2021,126.7
E92000001,England,nation,02/02/2021,232.9
N92000002,Northern Ireland,nation,02/02/2021,180
S92000003,Scotland,nation,02/02/2021,127.1
W92000004,Wales,nation,02/02/2021,130.6
E92000001,England,nation,01/02/2021,245
N92000002,Northern Ireland,nation,01/02/2021,189.6
S92000003,Scotland,nation,01/02/2021,129.4
W92000004,Wales,nation,01/02/2021,134.7
E92000001,England,nation,31/01/2021,257.4
N92000002,Northern Ireland,nation,31/01/2021,195.3
S92000003,Scotland,nation,31/01/2021,133.5
W92000004,Wales,nation,31/01/2021,142.2
E92000001,England,nation,30/01/2021,260.5
N92000002,Northern Ireland,nation,30/01/2021,198.2
S92000003,Scotland,nation,30/01/2021,134.4
W92000004,Wales,nation,30/01/2021,140.1
E92000001,England,nation,29/01/2021,269.2
N92000002,Northern Ireland,nation,29/01/2021,202
S92000003,Scotland,nation,29/01/2021,137.1
W92000004,Wales,nation,29/01/2021,141.9
E92000001,England,nation,28/01/2021,282
N92000002,Northern Ireland,nation,28/01/2021,206.4
S92000003,Scotland,nation,28/01/2021,142.3
W92000004,Wales,nation,28/01/2021,147.4
E92000001,England,nation,27/01/2021,294.3
N92000002,Northern Ireland,nation,27/01/2021,218.9
S92000003,Scotland,nation,27/01/2021,144.5
W92000004,Wales,nation,27/01/2021,155.4
E92000001,England,nation,26/01/2021,309.5
N92000002,Northern Ireland,nation,26/01/2021,227.5
S92000003,Scotland,nation,26/01/2021,153.1
W92000004,Wales,nation,26/01/2021,163.8
E92000001,England,nation,25/01/2021,330
N92000002,Northern Ireland,nation,25/01/2021,239.7
S92000003,Scotland,nation,25/01/2021,160.2
W92000004,Wales,nation,25/01/2021,175
E92000001,England,nation,24/01/2021,354.2
N92000002,Northern Ireland,nation,24/01/2021,254.7
S92000003,Scotland,nation,24/01/2021,167.8
W92000004,Wales,nation,24/01/2021,192.4
E92000001,England,nation,23/01/2021,373.3
N92000002,Northern Ireland,nation,23/01/2021,263.4
S92000003,Scotland,nation,23/01/2021,173.9
W92000004,Wales,nation,23/01/2021,206
E92000001,England,nation,22/01/2021,387.1
N92000002,Northern Ireland,nation,22/01/2021,275
S92000003,Scotland,nation,22/01/2021,178.3
W92000004,Wales,nation,22/01/2021,220.8
E92000001,England,nation,21/01/2021,404.7
N92000002,Northern Ireland,nation,21/01/2021,287.6
S92000003,Scotland,nation,21/01/2021,184
W92000004,Wales,nation,21/01/2021,234.7
E92000001,England,nation,20/01/2021,422
N92000002,Northern Ireland,nation,20/01/2021,296.1
S92000003,Scotland,nation,20/01/2021,191
W92000004,Wales,nation,20/01/2021,247.5
E92000001,England,nation,19/01/2021,438.7
N92000002,Northern Ireland,nation,19/01/2021,311
S92000003,Scotland,nation,19/01/2021,193.2
W92000004,Wales,nation,19/01/2021,263.1
E92000001,England,nation,18/01/2021,454.2
N92000002,Northern Ireland,nation,18/01/2021,324.6
S92000003,Scotland,nation,18/01/2021,201
W92000004,Wales,nation,18/01/2021,279.6
E92000001,England,nation,17/01/2021,474.2
N92000002,Northern Ireland,nation,17/01/2021,343.3
S92000003,Scotland,nation,17/01/2021,207.7
W92000004,Wales,nation,17/01/2021,290.3
E92000001,England,nation,16/01/2021,486
N92000002,Northern Ireland,nation,16/01/2021,357.6
S92000003,Scotland,nation,16/01/2021,211.9
W92000004,Wales,nation,16/01/2021,301.5
E92000001,England,nation,15/01/2021,499.9
N92000002,Northern Ireland,nation,15/01/2021,373.9
S92000003,Scotland,nation,15/01/2021,217.8
W92000004,Wales,nation,15/01/2021,305.8
E92000001,England,nation,14/01/2021,509.7
N92000002,Northern Ireland,nation,14/01/2021,394.5
S92000003,Scotland,nation,14/01/2021,223.1
W92000004,Wales,nation,14/01/2021,318
E92000001,England,nation,13/01/2021,524.5
N92000002,Northern Ireland,nation,13/01/2021,411.6
S92000003,Scotland,nation,13/01/2021,233.6
W92000004,Wales,nation,13/01/2021,329.2
E92000001,England,nation,12/01/2021,542.6
N92000002,Northern Ireland,nation,12/01/2021,436.3
S92000003,Scotland,nation,12/01/2021,249.2
W92000004,Wales,nation,12/01/2021,345.9
E92000001,England,nation,11/01/2021,566.3
N92000002,Northern Ireland,nation,11/01/2021,462.8
S92000003,Scotland,nation,11/01/2021,268.8
W92000004,Wales,nation,11/01/2021,370.7
E92000001,England,nation,10/01/2021,596.7
N92000002,Northern Ireland,nation,10/01/2021,501.9
S92000003,Scotland,nation,10/01/2021,274.1
W92000004,Wales,nation,10/01/2021,400
E92000001,England,nation,09/01/2021,626.3
N92000002,Northern Ireland,nation,09/01/2021,541.4
S92000003,Scotland,nation,09/01/2021,288.6
W92000004,Wales,nation,09/01/2021,420
E92000001,England,nation,08/01/2021,659.6
N92000002,Northern Ireland,nation,08/01/2021,590.4
S92000003,Scotland,nation,08/01/2021,301.8
W92000004,Wales,nation,08/01/2021,450
E92000001,England,nation,07/01/2021,634.5
N92000002,Northern Ireland,nation,07/01/2021,591.1
S92000003,Scotland,nation,07/01/2021,289.5
W92000004,Wales,nation,07/01/2021,437.8
E92000001,England,nation,06/01/2021,634.2
N92000002,Northern Ireland,nation,06/01/2021,616.7
S92000003,Scotland,nation,06/01/2021,292.7
W92000004,Wales,nation,06/01/2021,448.8
E92000001,England,nation,05/01/2021,654.8
N92000002,Northern Ireland,nation,05/01/2021,653.8
S92000003,Scotland,nation,05/01/2021,300.3
W92000004,Wales,nation,05/01/2021,471.3
E92000001,England,nation,04/01/2021,680.5
N92000002,Northern Ireland,nation,04/01/2021,690.1
S92000003,Scotland,nation,04/01/2021,301.9
W92000004,Wales,nation,04/01/2021,508.6
E92000001,England,nation,03/01/2021,628.9
N92000002,Northern Ireland,nation,03/01/2021,657.7
S92000003,Scotland,nation,03/01/2021,291.7
W92000004,Wales,nation,03/01/2021,499.1
E92000001,England,nation,02/01/2021,616.3
N92000002,Northern Ireland,nation,02/01/2021,629
S92000003,Scotland,nation,02/01/2021,282.2
W92000004,Wales,nation,02/01/2021,520.9
E92000001,England,nation,01/01/2021,585.3
N92000002,Northern Ireland,nation,01/01/2021,565.2
S92000003,Scotland,nation,01/01/2021,260.9
W92000004,Wales,nation,01/01/2021,514.7
E92000001,England,nation,31/12/2020,557.7
N92000002,Northern Ireland,nation,31/12/2020,517.3
S92000003,Scotland,nation,31/12/2020,249.1
W92000004,Wales,nation,31/12/2020,496.7
E92000001,England,nation,30/12/2020,525.7
N92000002,Northern Ireland,nation,30/12/2020,459.3
S92000003,Scotland,nation,30/12/2020,224.3
W92000004,Wales,nation,30/12/2020,479.7
E92000001,England,nation,29/12/2020,480.8
N92000002,Northern Ireland,nation,29/12/2020,384.2
S92000003,Scotland,nation,29/12/2020,194.1
W92000004,Wales,nation,29/12/2020,471.5
E92000001,England,nation,28/12/2020,424.7
N92000002,Northern Ireland,nation,28/12/2020,300.6
S92000003,Scotland,nation,28/12/2020,160.8
W92000004,Wales,nation,28/12/2020,444.3
E92000001,England,nation,27/12/2020,429.2
N92000002,Northern Ireland,nation,27/12/2020,265.3
S92000003,Scotland,nation,27/12/2020,151.6
W92000004,Wales,nation,27/12/2020,456.6
E92000001,England,nation,26/12/2020,405.3
N92000002,Northern Ireland,nation,26/12/2020,233.6
S92000003,Scotland,nation,26/12/2020,135.5
W92000004,Wales,nation,26/12/2020,447.5
E92000001,England,nation,25/12/2020,378.7
N92000002,Northern Ireland,nation,25/12/2020,221.3
S92000003,Scotland,nation,25/12/2020,130
W92000004,Wales,nation,25/12/2020,456.3
E92000001,England,nation,24/12/2020,412.7
N92000002,Northern Ireland,nation,24/12/2020,231.6
S92000003,Scotland,nation,24/12/2020,137.5
W92000004,Wales,nation,24/12/2020,516.4
E92000001,England,nation,23/12/2020,414.3
N92000002,Northern Ireland,nation,23/12/2020,230.4
S92000003,Scotland,nation,23/12/2020,135.5
W92000004,Wales,nation,23/12/2020,557.7
E92000001,England,nation,22/12/2020,401
N92000002,Northern Ireland,nation,22/12/2020,220.4
S92000003,Scotland,nation,22/12/2020,130.5
W92000004,Wales,nation,22/12/2020,579.8
E92000001,England,nation,21/12/2020,380
N92000002,Northern Ireland,nation,21/12/2020,210.4
S92000003,Scotland,nation,21/12/2020,125.1
W92000004,Wales,nation,21/12/2020,594.9
E92000001,England,nation,20/12/2020,356.8
N92000002,Northern Ireland,nation,20/12/2020,202.3
S92000003,Scotland,nation,20/12/2020,121.1
W92000004,Wales,nation,20/12/2020,620.1
E92000001,England,nation,19/12/2020,337.6
N92000002,Northern Ireland,nation,19/12/2020,197.5
S92000003,Scotland,nation,19/12/2020,119.2
W92000004,Wales,nation,19/12/2020,636.8
E92000001,England,nation,18/12/2020,327.5
N92000002,Northern Ireland,nation,18/12/2020,191
S92000003,Scotland,nation,18/12/2020,117.9
W92000004,Wales,nation,18/12/2020,640.5
E92000001,England,nation,17/12/2020,306.2
N92000002,Northern Ireland,nation,17/12/2020,190.2
S92000003,Scotland,nation,17/12/2020,116.8
W92000004,Wales,nation,17/12/2020,649.2
E92000001,England,nation,16/12/2020,286.6
N92000002,Northern Ireland,nation,16/12/2020,184.8
S92000003,Scotland,nation,16/12/2020,116.5
W92000004,Wales,nation,16/12/2020,645.6
E92000001,England,nation,15/12/2020,264.1
N92000002,Northern Ireland,nation,15/12/2020,176.2
S92000003,Scotland,nation,15/12/2020,115.5
W92000004,Wales,nation,15/12/2020,631.4
E92000001,England,nation,14/12/2020,242
N92000002,Northern Ireland,nation,14/12/2020,172.8
S92000003,Scotland,nation,14/12/2020,115.5
W92000004,Wales,nation,14/12/2020,613
E92000001,England,nation,13/12/2020,220.5
N92000002,Northern Ireland,nation,13/12/2020,167.6
S92000003,Scotland,nation,13/12/2020,112.8
W92000004,Wales,nation,13/12/2020,580.4
E92000001,England,nation,12/12/2020,207.6
N92000002,Northern Ireland,nation,12/12/2020,166
S92000003,Scotland,nation,12/12/2020,111.4
W92000004,Wales,nation,12/12/2020,547.5
E92000001,England,nation,11/12/2020,197.1
N92000002,Northern Ireland,nation,11/12/2020,167.9
S92000003,Scotland,nation,11/12/2020,111.1
W92000004,Wales,nation,11/12/2020,523.7
E92000001,England,nation,10/12/2020,184.7
N92000002,Northern Ireland,nation,10/12/2020,163.3
S92000003,Scotland,nation,10/12/2020,106.9
W92000004,Wales,nation,10/12/2020,488.3
E92000001,England,nation,09/12/2020,174
N92000002,Northern Ireland,nation,09/12/2020,163
S92000003,Scotland,nation,09/12/2020,105.3
W92000004,Wales,nation,09/12/2020,461.1
E92000001,England,nation,08/12/2020,166.9
N92000002,Northern Ireland,nation,08/12/2020,160.7
S92000003,Scotland,nation,08/12/2020,104.4
W92000004,Wales,nation,08/12/2020,427.9
E92000001,England,nation,07/12/2020,161.3
N92000002,Northern Ireland,nation,07/12/2020,157
S92000003,Scotland,nation,07/12/2020,102.3
W92000004,Wales,nation,07/12/2020,396.5
E92000001,England,nation,06/12/2020,157.1
N92000002,Northern Ireland,nation,06/12/2020,158.9
S92000003,Scotland,nation,06/12/2020,102.7
W92000004,Wales,nation,06/12/2020,364.6
E92000001,England,nation,05/12/2020,153.6
N92000002,Northern Ireland,nation,05/12/2020,153
S92000003,Scotland,nation,05/12/2020,101
W92000004,Wales,nation,05/12/2020,341.4
E92000001,England,nation,04/12/2020,152
N92000002,Northern Ireland,nation,04/12/2020,150.1
S92000003,Scotland,nation,04/12/2020,99.3
W92000004,Wales,nation,04/12/2020,319.5
E92000001,England,nation,03/12/2020,150.9
N92000002,Northern Ireland,nation,03/12/2020,144.8
S92000003,Scotland,nation,03/12/2020,101
W92000004,Wales,nation,03/12/2020,298.5
E92000001,England,nation,02/12/2020,150.4
N92000002,Northern Ireland,nation,02/12/2020,136.4
S92000003,Scotland,nation,02/12/2020,100.9
W92000004,Wales,nation,02/12/2020,278
E92000001,England,nation,01/12/2020,151.3
N92000002,Northern Ireland,nation,01/12/2020,136.8
S92000003,Scotland,nation,01/12/2020,100.5
W92000004,Wales,nation,01/12/2020,268.2
E92000001,England,nation,30/11/2020,152.2
N92000002,Northern Ireland,nation,30/11/2020,133.7
S92000003,Scotland,nation,30/11/2020,101.7
W92000004,Wales,nation,30/11/2020,251.8
E92000001,England,nation,29/11/2020,154.3
N92000002,Northern Ireland,nation,29/11/2020,126.8
S92000003,Scotland,nation,29/11/2020,105.1
W92000004,Wales,nation,29/11/2020,236.8
E92000001,England,nation,28/11/2020,156.3
N92000002,Northern Ireland,nation,28/11/2020,127.8
S92000003,Scotland,nation,28/11/2020,107.9
W92000004,Wales,nation,28/11/2020,228.9
E92000001,England,nation,27/11/2020,158.8
N92000002,Northern Ireland,nation,27/11/2020,125.2
S92000003,Scotland,nation,27/11/2020,111.4
W92000004,Wales,nation,27/11/2020,223.7
E92000001,England,nation,26/11/2020,163.1
