"Coefficient","base","base_wave","msoa","nat","msoa_wave","msoa_int","nat_wave","nat_int","msoa_lag1","msoa_lag2","msoa_lag1_wave","msoa_lag1_int","msoa_lag2_wave","msoa_lag2_int","nat_lag1","nat_lag2","nat_lag1_wave","nat_lag1_int","nat_lag2_wave","nat_lag2_int"
"(Intercept)","0.01 [0.006, 0.007]; p = 0","0.01 [0.006, 0.007]; p = 0","0.01 [0.005, 0.006]; p = 0","0 [0.001, 0.001]; p = 0","0.01 [0.007, 0.008]; p = 0","0.01 [0.007, 0.008]; p = 0","0 [0, 0]; p = 0","0 [0, 0]; p = 0","0.01 [0.006, 0.006]; p = 0","0.01 [0.006, 0.007]; p = 0","0.01 [0.007, 0.008]; p = 0","0.01 [0.007, 0.008]; p = 0","0.01 [0.007, 0.008]; p = 0","0.01 [0.007, 0.008]; p = 0","0 [0.001, 0.001]; p = 0","0 [0.001, 0.001]; p = 0","0 [0, 0]; p = 0","0 [0, 0]; p = 0","0 [0, 0]; p = 0","0 [0, 0]; p = 0"
"ch_size","1.04 [1.044, 1.046]; p = 0","1.04 [1.044, 1.046]; p = 0","1.05 [1.048, 1.049]; p = 0","1.05 [1.047, 1.049]; p = 0","1.05 [1.047, 1.049]; p = 0","1.05 [1.047, 1.049]; p = 0","1.05 [1.045, 1.047]; p = 0","1.05 [1.045, 1.047]; p = 0","1.05 [1.048, 1.049]; p = 0","1.05 [1.047, 1.049]; p = 0","1.05 [1.047, 1.049]; p = 0","1.05 [1.047, 1.049]; p = 0","1.05 [1.047, 1.048]; p = 0","1.05 [1.047, 1.048]; p = 0","1.05 [1.048, 1.05]; p = 0","1.05 [1.048, 1.05]; p = 0","1.05 [1.046, 1.048]; p = 0","1.05 [1.046, 1.048]; p = 0","1.05 [1.047, 1.049]; p = 0","1.05 [1.047, 1.049]; p = 0"
"ch_typePN","1.48 [1.44, 1.526]; p = 0","1.48 [1.44, 1.526]; p = 0","1.46 [1.419, 1.504]; p = 0","1.5 [1.456, 1.544]; p = 0","1.45 [1.405, 1.49]; p = 0","1.45 [1.405, 1.489]; p = 0","1.47 [1.431, 1.518]; p = 0","1.47 [1.427, 1.513]; p = 0","1.46 [1.422, 1.507]; p = 0","1.47 [1.426, 1.512]; p = 0","1.45 [1.412, 1.497]; p = 0","1.45 [1.412, 1.496]; p = 0","1.46 [1.42, 1.505]; p = 0","1.46 [1.418, 1.504]; p = 0","1.5 [1.46, 1.548]; p = 0","1.51 [1.462, 1.551]; p = 0","1.48 [1.441, 1.528]; p = 0","1.48 [1.437, 1.524]; p = 0","1.49 [1.45, 1.538]; p = 0","1.49 [1.448, 1.536]; p = 0"
"ch_typePS","1.77 [1.626, 1.936]; p = 0","1.77 [1.626, 1.937]; p = 0","1.81 [1.663, 1.981]; p = 0","1.84 [1.687, 2.011]; p = 0","1.81 [1.654, 1.972]; p = 0","1.81 [1.653, 1.971]; p = 0","1.79 [1.639, 1.955]; p = 0","1.78 [1.631, 1.948]; p = 0","1.82 [1.663, 1.982]; p = 0","1.81 [1.659, 1.976]; p = 0","1.81 [1.654, 1.973]; p = 0","1.81 [1.653, 1.971]; p = 0","1.8 [1.65, 1.966]; p = 0","1.8 [1.647, 1.963]; p = 0","1.85 [1.694, 2.019]; p = 0","1.85 [1.693, 2.018]; p = 0","1.8 [1.652, 1.97]; p = 0","1.8 [1.645, 1.964]; p = 0","1.82 [1.662, 1.982]; p = 0","1.81 [1.656, 1.977]; p = 0"
"imd_quint(6.64e+03,1.32e+04]","0.96 [0.913, 0.999]; p = 0.0432","0.95 [0.913, 0.999]; p = 0.0431","1.05 [1.001, 1.095]; p = 0.0438","0.95 [0.907, 0.992]; p = 0.0219","1.07 [1.022, 1.117]; p = 0.0038","1.07 [1.022, 1.118]; p = 0.0036","0.95 [0.908, 0.993]; p = 0.0237","0.95 [0.908, 0.994]; p = 0.0264","1.04 [0.996, 1.09]; p = 0.0735","1.03 [0.983, 1.075]; p = 0.2275","1.06 [1.011, 1.106]; p = 0.0149","1.06 [1.011, 1.106]; p = 0.0141","1.04 [0.992, 1.085]; p = 0.106","1.04 [0.993, 1.086]; p = 0.0971","0.95 [0.905, 0.991]; p = 0.0183","0.95 [0.905, 0.99]; p = 0.0172","0.95 [0.905, 0.991]; p = 0.0177","0.95 [0.905, 0.991]; p = 0.018","0.95 [0.905, 0.99]; p = 0.0164","0.95 [0.904, 0.989]; p = 0.0152"
"imd_quint(1.32e+04,1.97e+04]","0.7 [0.673, 0.735]; p = 0","0.7 [0.673, 0.735]; p = 0","0.81 [0.772, 0.843]; p = 0","0.69 [0.656, 0.717]; p = 0","0.84 [0.801, 0.875]; p = 0","0.84 [0.801, 0.875]; p = 0","0.69 [0.663, 0.725]; p = 0","0.7 [0.665, 0.727]; p = 0","0.8 [0.763, 0.834]; p = 0","0.78 [0.747, 0.817]; p = 0","0.82 [0.785, 0.857]; p = 0","0.82 [0.786, 0.858]; p = 0","0.8 [0.761, 0.831]; p = 0","0.8 [0.763, 0.833]; p = 0","0.68 [0.653, 0.714]; p = 0","0.68 [0.652, 0.713]; p = 0","0.69 [0.659, 0.721]; p = 0","0.69 [0.661, 0.722]; p = 0","0.69 [0.657, 0.719]; p = 0","0.69 [0.659, 0.72]; p = 0"
"imd_quint(1.97e+04,2.63e+04]","0.72 [0.69, 0.755]; p = 0","0.72 [0.69, 0.755]; p = 0","0.81 [0.777, 0.85]; p = 0","0.71 [0.676, 0.74]; p = 0","0.85 [0.809, 0.885]; p = 0","0.85 [0.809, 0.886]; p = 0","0.72 [0.685, 0.75]; p = 0","0.72 [0.687, 0.752]; p = 0","0.8 [0.767, 0.84]; p = 0","0.79 [0.752, 0.823]; p = 0","0.83 [0.791, 0.866]; p = 0","0.83 [0.791, 0.866]; p = 0","0.8 [0.767, 0.839]; p = 0","0.8 [0.767, 0.839]; p = 0","0.7 [0.673, 0.738]; p = 0","0.7 [0.673, 0.737]; p = 0","0.71 [0.681, 0.746]; p = 0","0.71 [0.683, 0.748]; p = 0","0.71 [0.679, 0.744]; p = 0","0.71 [0.68, 0.745]; p = 0"
"imd_quint(2.63e+04,3.28e+04]","0.74 [0.707, 0.777]; p = 0","0.74 [0.706, 0.777]; p = 0","0.86 [0.816, 0.897]; p = 0","0.72 [0.69, 0.76]; p = 0","0.9 [0.855, 0.941]; p = 0","0.9 [0.855, 0.941]; p = 0","0.74 [0.706, 0.777]; p = 0","0.74 [0.709, 0.78]; p = 0","0.84 [0.804, 0.885]; p = 0","0.82 [0.786, 0.865]; p = 0","0.87 [0.833, 0.917]; p = 0","0.87 [0.834, 0.917]; p = 0","0.84 [0.804, 0.885]; p = 0","0.84 [0.805, 0.886]; p = 0","0.72 [0.687, 0.756]; p = 0","0.72 [0.686, 0.755]; p = 0","0.74 [0.701, 0.771]; p = 0","0.74 [0.703, 0.774]; p = 0","0.73 [0.696, 0.766]; p = 0","0.73 [0.697, 0.767]; p = 0"
"rural_urbanurban","1.14 [1.096, 1.18]; p = 0","1.14 [1.096, 1.18]; p = 0","1.03 [0.988, 1.065]; p = 0.1898","1.14 [1.101, 1.187]; p = 0","1 [0.962, 1.037]; p = 0.9602","1 [0.962, 1.037]; p = 0.9487","1.14 [1.094, 1.179]; p = 0","1.13 [1.092, 1.177]; p = 0","1.03 [0.995, 1.073]; p = 0.0872","1.05 [1.01, 1.089]; p = 0.0126","1.01 [0.976, 1.053]; p = 0.4743","1.01 [0.976, 1.052]; p = 0.4863","1.04 [0.998, 1.076]; p = 0.0632","1.04 [0.997, 1.075]; p = 0.0698","1.15 [1.104, 1.191]; p = 0","1.15 [1.107, 1.193]; p = 0","1.14 [1.1, 1.186]; p = 0","1.14 [1.099, 1.186]; p = 0","1.15 [1.106, 1.192]; p = 0","1.15 [1.107, 1.195]; p = 0"
"hh_maj_demTRUE","1.67 [1.625, 1.726]; p = 0","1.67 [1.625, 1.726]; p = 0","1.68 [1.628, 1.73]; p = 0","1.71 [1.658, 1.763]; p = 0","1.66 [1.608, 1.709]; p = 0","1.66 [1.608, 1.709]; p = 0","1.68 [1.631, 1.733]; p = 0","1.67 [1.624, 1.727]; p = 0","1.68 [1.631, 1.734]; p = 0","1.68 [1.632, 1.734]; p = 0","1.67 [1.615, 1.716]; p = 0","1.67 [1.616, 1.717]; p = 0","1.67 [1.621, 1.722]; p = 0","1.67 [1.621, 1.723]; p = 0","1.72 [1.665, 1.769]; p = 0","1.72 [1.666, 1.771]; p = 0","1.69 [1.641, 1.744]; p = 0","1.69 [1.635, 1.738]; p = 0","1.7 [1.649, 1.753]; p = 0","1.7 [1.645, 1.748]; p = 0"
"wavesecond",NA,"1.01 [0.981, 1.038]; p = 0.5308",NA,NA,"0.52 [0.5, 0.533]; p = 0","0.5 [0.481, 0.525]; p = 0","0.13 [0.122, 0.139]; p = 0","55.85 [44.038, 70.834]; p = 0",NA,NA,"0.57 [0.553, 0.589]; p = 0","0.55 [0.534, 0.577]; p = 0","0.66 [0.638, 0.678]; p = 0","0.63 [0.611, 0.654]; p = 0",NA,NA,"0.16 [0.155, 0.176]; p = 0","105.46 [83.695, 132.882]; p = 0","0.27 [0.255, 0.28]; p = 0","12.65 [10.842, 14.754]; p = 0"
"msoa_roll7",NA,NA,"1.21 [1.207, 1.218]; p = 0",NA,"1.27 [1.265, 1.28]; p = 0","1.27 [1.258, 1.275]; p = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eng_roll7",NA,NA,NA,"1.47 [1.463, 1.481]; p = 0",NA,NA,"2.37 [2.32, 2.422]; p = 0","4.34 [4.183, 4.5]; p = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"msoa_roll7:wavesecond",NA,NA,NA,NA,NA,"1.01 [1.001, 1.026]; p = 0.0355",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eng_roll7:wavesecond",NA,NA,NA,NA,NA,NA,NA,"0.37 [0.352, 0.382]; p = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"msoa_lag1wk",NA,NA,NA,NA,NA,NA,NA,NA,"1.19 [1.189, 1.2]; p = 0",NA,"1.24 [1.232, 1.245]; p = 0","1.23 [1.223, 1.238]; p = 0",NA,NA,NA,NA,NA,NA,NA,NA
"msoa_lag2wk",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.16 [1.156, 1.166]; p = 0",NA,NA,"1.19 [1.183, 1.194]; p = 0","1.17 [1.164, 1.177]; p = 0",NA,NA,NA,NA,NA,NA
"msoa_lag1wk:wavesecond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.02 [1.006, 1.028]; p = 0.0022",NA,NA,NA,NA,NA,NA,NA,NA
"msoa_lag2wk:wavesecond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.04 [1.028, 1.048]; p = 0",NA,NA,NA,NA,NA,NA
"eng_lag1wk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.49 [1.477, 1.494]; p = 0",NA,"2.19 [2.151, 2.234]; p = 0","4.59 [4.416, 4.762]; p = 0",NA,NA
"eng_lag2wk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.44 [1.433, 1.449]; p = 0",NA,NA,"1.83 [1.807, 1.854]; p = 0","2.86 [2.789, 2.926]; p = 0"
"eng_lag1wk:wavesecond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.33 [0.318, 0.346]; p = 0",NA,NA
"eng_lag2wk:wavesecond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.51 [0.494, 0.521]; p = 0"
